,year,category,artist,nominee,association
0,1977,Best British Album,The Beatles,The Beatles,BRIT Music Awards
1,1977,Best British Female,Shirley Bassey,Shirley Bassey,BRIT Music Awards
2,1977,Best British Female Newcomer,Julie Covington,Julie Covington,BRIT Music Awards
3,1977,Best British Group,The Beatles,The Beatles,BRIT Music Awards
4,1977,Best British Male,Cliff Richard,Cliff Richard,BRIT Music Awards
5,1977,Best British Male Newcomer,Graham Parker,Graham Parker,BRIT Music Awards
6,1977,Best British Producer,George Martin,George Martin,BRIT Music Awards
7,1977,Best British Single,Procul Harum,Procul Harum,BRIT Music Awards
8,1977,Outstanding Contribution,L.G.Wood,L.G.Wood,BRIT Music Awards
9,1977,Best British Album,The Beatles,The Beatles,BRIT Music Awards
10,1977,Best British Female,Shirley Bassey,Shirley Bassey,BRIT Music Awards
11,1977,Best British Female Newcomer,Julie Covington,Julie Covington,BRIT Music Awards
12,1977,Best British Group,The Beatles,The Beatles,BRIT Music Awards
13,1977,Best British Male,Cliff Richard,Cliff Richard,BRIT Music Awards
14,1977,Best British Male Newcomer,Graham Parker,Graham Parker,BRIT Music Awards
15,1977,Best British Producer,George Martin,George Martin,BRIT Music Awards
16,1977,Best British Single,Procul Harum,Procul Harum,BRIT Music Awards
17,1977,Outstanding Contribution,L.G.Wood,L.G.Wood,BRIT Music Awards
18,1982,Best British Album,Adam & The Ants,Adam & The Ants,BRIT Music Awards
19,1982,Best British Female,Randy Crawford,Randy Crawford,BRIT Music Awards
20,1982,Best British Group,The Police,The Police,BRIT Music Awards
21,1982,Best British Male,Cliff Richard,Cliff Richard,BRIT Music Awards
22,1982,Best British Newcomer,The Human League,The Human League,BRIT Music Awards
23,1982,Best British Producer,Martin Rushent,Martin Rushent,BRIT Music Awards
24,1982,Best British Single,Soft Cell,Soft Cell,BRIT Music Awards
25,1982,Best Classical Recording,Simon Rattle,Simon Rattle,BRIT Music Awards
26,1982,Outstanding Contribution,John Lennon,John Lennon,BRIT Music Awards
27,1982,Best British Album,Adam & The Ants,Adam & The Ants,BRIT Music Awards
28,1982,Best British Female,Randy Crawford,Randy Crawford,BRIT Music Awards
29,1982,Best British Group,The Police,The Police,BRIT Music Awards
30,1982,Best British Male,Cliff Richard,Cliff Richard,BRIT Music Awards
31,1982,Best British Newcomer,The Human League,The Human League,BRIT Music Awards
32,1982,Best British Producer,Martin Rushent,Martin Rushent,BRIT Music Awards
33,1982,Best British Single,Soft Cell,Soft Cell,BRIT Music Awards
34,1982,Best Classical Recording,Simon Rattle,Simon Rattle,BRIT Music Awards
35,1982,Outstanding Contribution,John Lennon,John Lennon,BRIT Music Awards
36,1983,Best British Female,Kim Wilde,Kim Wilde,BRIT Music Awards
37,1983,Best British Group,Dire Straits,Dire Straits,BRIT Music Awards
38,1983,Best British Male,Paul McCartney,Paul McCartney,BRIT Music Awards
39,1983,Best British Newcomer,Yazoo,Yazoo,BRIT Music Awards
40,1983,Best British Producer,Trevor Horn,Trevor Horn,BRIT Music Awards
41,1983,Best British Single,Dexys Midnight Runners,Dexys Midnight Runners,BRIT Music Awards
42,1983,Best Classical Recording,John Williams,John Williams,BRIT Music Awards
43,1983,Best International Solo Artist,Kid Creole,Kid Creole,BRIT Music Awards
44,1983,Best Selling Album,Barbara Streisand,Barbara Streisand,BRIT Music Awards
45,1983,Life Acheivement,Pete Townsend,Pete Townsend,BRIT Music Awards
46,1983,Outstanding Contribution,The Beatles,The Beatles,BRIT Music Awards
47,1983,Sony Trophy for Technical Excellence,Paul McCartney,Paul McCartney,BRIT Music Awards
48,1983,Special Award,Chris Wright,Chris Wright,BRIT Music Awards
49,1983,Best British Female,Kim Wilde,Kim Wilde,BRIT Music Awards
50,1983,Best British Group,Dire Straits,Dire Straits,BRIT Music Awards
51,1983,Best British Male,Paul McCartney,Paul McCartney,BRIT Music Awards
52,1983,Best British Newcomer,Yazoo,Yazoo,BRIT Music Awards
53,1983,Best British Producer,Trevor Horn,Trevor Horn,BRIT Music Awards
54,1983,Best British Single,Dexys Midnight Runners,Dexys Midnight Runners,BRIT Music Awards
55,1983,Best Classical Recording,John Williams,John Williams,BRIT Music Awards
56,1983,Best International Solo Artist,Kid Creole,Kid Creole,BRIT Music Awards
57,1983,Best Selling Album,Barbara Streisand,Barbara Streisand,BRIT Music Awards
58,1983,Life Acheivement,Pete Townsend,Pete Townsend,BRIT Music Awards
59,1983,Outstanding Contribution,The Beatles,The Beatles,BRIT Music Awards
60,1983,Sony Trophy for Technical Excellence,Paul McCartney,Paul McCartney,BRIT Music Awards
61,1983,Special Award,Chris Wright,Chris Wright,BRIT Music Awards
62,1984,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
63,1984,Best British Group,Culture Club,Culture Club,BRIT Music Awards
64,1984,Best British Male,David Bowie,David Bowie,BRIT Music Awards
65,1984,Best British Newcomer,Paul Young,Paul Young,BRIT Music Awards
66,1984,Best British Producer,Steve Levine,Steve Levine,BRIT Music Awards
67,1984,Best British Single,Culture Club,Culture Club,BRIT Music Awards
68,1984,Best Classical Recording,Kiri Te Kanawa,Kiri Te Kanawa,BRIT Music Awards
69,1984,Best International Artist,Michael Jackson,Michael Jackson,BRIT Music Awards
70,1984,Best Selling Album,Michael Jackson,Michael Jackson,BRIT Music Awards
71,1984,Outstanding Contribution,George Martin,George Martin,BRIT Music Awards
72,1984,Sony Trophy for Technical Excellence,Spandau Ballet,Spandau Ballet,BRIT Music Awards
73,1984,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
74,1984,Best British Group,Culture Club,Culture Club,BRIT Music Awards
75,1984,Best British Male,David Bowie,David Bowie,BRIT Music Awards
76,1984,Best British Newcomer,Paul Young,Paul Young,BRIT Music Awards
77,1984,Best British Producer,Steve Levine,Steve Levine,BRIT Music Awards
78,1984,Best British Single,Culture Club,Culture Club,BRIT Music Awards
79,1984,Best Classical Recording,Kiri Te Kanawa,Kiri Te Kanawa,BRIT Music Awards
80,1984,Best International Artist,Michael Jackson,Michael Jackson,BRIT Music Awards
81,1984,Best Selling Album,Michael Jackson,Michael Jackson,BRIT Music Awards
82,1984,Outstanding Contribution,George Martin,George Martin,BRIT Music Awards
83,1984,Sony Trophy for Technical Excellence,Spandau Ballet,Spandau Ballet,BRIT Music Awards
84,1985,Best British Album,Sade,Sade,BRIT Music Awards
85,1985,Best British Female,Alison Moyet,Alison Moyet,BRIT Music Awards
86,1985,Best British Group,Wham,Wham,BRIT Music Awards
87,1985,Best British Male,Paul Young,Paul Young,BRIT Music Awards
88,1985,Best British Newcomer,Frankie Goes To Hollywood,Frankie Goes To Hollywood,BRIT Music Awards
89,1985,Best British Producer,Trevor Horn,Trevor Horn,BRIT Music Awards
90,1985,Best British Single,Frankie Goes To Hollywood,Frankie Goes To Hollywood,BRIT Music Awards
91,1985,Best British Video,Duran Duran,Duran Duran,BRIT Music Awards
92,1985,Best Classical Recording,Christopher Hogwood,Christopher Hogwood,BRIT Music Awards
93,1985,Best Comedy Record,Neil,Neil,BRIT Music Awards
94,1985,Best International Solo Artist,Prince,Prince,BRIT Music Awards
95,1985,Best Soundtrack/Cast Recording,Purple Rain,Purple Rain,BRIT Music Awards
96,1985,Outstanding Contribution,The Police,The Police,BRIT Music Awards
97,1985,Special Award,Bob Geldof,Bob Geldof,BRIT Music Awards
98,1985,Best British Album,Sade,Sade,BRIT Music Awards
99,1985,Best British Female,Alison Moyet,Alison Moyet,BRIT Music Awards
100,1985,Best British Group,Wham,Wham,BRIT Music Awards
101,1985,Best British Male,Paul Young,Paul Young,BRIT Music Awards
102,1985,Best British Newcomer,Frankie Goes To Hollywood,Frankie Goes To Hollywood,BRIT Music Awards
103,1985,Best British Producer,Trevor Horn,Trevor Horn,BRIT Music Awards
104,1985,Best British Single,Frankie Goes To Hollywood,Frankie Goes To Hollywood,BRIT Music Awards
105,1985,Best British Video,Duran Duran,Duran Duran,BRIT Music Awards
106,1985,Best Classical Recording,Christopher Hogwood,Christopher Hogwood,BRIT Music Awards
107,1985,Best Comedy Record,Neil,Neil,BRIT Music Awards
108,1985,Best International Solo Artist,Prince,Prince,BRIT Music Awards
109,1985,Best Soundtrack/Cast Recording,Purple Rain,Purple Rain,BRIT Music Awards
110,1985,Outstanding Contribution,The Police,The Police,BRIT Music Awards
111,1985,Special Award,Bob Geldof,Bob Geldof,BRIT Music Awards
112,1986,Best British Album,Phil Collins,Phil Collins,BRIT Music Awards
113,1986,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
114,1986,Best British Group,Dire Straits,Dire Straits,BRIT Music Awards
115,1986,Best British Male,Phil Collins,Phil Collins,BRIT Music Awards
116,1986,Best British Newcomer,Go West,Go West,BRIT Music Awards
117,1986,Best British Producer,Dave Stewart,Dave Stewart,BRIT Music Awards
118,1986,Best British Single,Tears For Fears,Tears For Fears,BRIT Music Awards
119,1986,Best British Video,Paul Young,Paul Young,BRIT Music Awards
120,1986,Best Classical Recording,Vernon Handley,Vernon Handley,BRIT Music Awards
121,1986,Best International Group,Huey Lewis & The News,Huey Lewis & The News,BRIT Music Awards
122,1986,Best International Solo Artist,Bruce Springsteen,Bruce Springsteen,BRIT Music Awards
123,1986,Outstanding Contribution,Elton John,Elton John,BRIT Music Awards
124,1986,Special Award,Bob Geldof,Bob Geldof,BRIT Music Awards
125,1986,Best British Album,Phil Collins,Phil Collins,BRIT Music Awards
126,1986,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
127,1986,Best British Group,Dire Straits,Dire Straits,BRIT Music Awards
128,1986,Best British Male,Phil Collins,Phil Collins,BRIT Music Awards
129,1986,Best British Newcomer,Go West,Go West,BRIT Music Awards
130,1986,Best British Producer,Dave Stewart,Dave Stewart,BRIT Music Awards
131,1986,Best British Single,Tears For Fears,Tears For Fears,BRIT Music Awards
132,1986,Best British Video,Paul Young,Paul Young,BRIT Music Awards
133,1986,Best Classical Recording,Vernon Handley,Vernon Handley,BRIT Music Awards
134,1986,Best International Group,Huey Lewis & The News,Huey Lewis & The News,BRIT Music Awards
135,1986,Best International Solo Artist,Bruce Springsteen,Bruce Springsteen,BRIT Music Awards
136,1986,Outstanding Contribution,Elton John,Elton John,BRIT Music Awards
137,1986,Special Award,Bob Geldof,Bob Geldof,BRIT Music Awards
138,1987,Best British Album,Dire Straits,Dire Straits,BRIT Music Awards
139,1987,Best British Female,Kate Bush,Kate Bush,BRIT Music Awards
140,1987,Best British Group,Five Star,Five Star,BRIT Music Awards
141,1987,Best British Male,Peter Gabriel,Peter Gabriel,BRIT Music Awards
142,1987,Best British Newcomer,The Housemartins,The Housemartins,BRIT Music Awards
143,1987,Best British Producer,Dave Stewart,Dave Stewart,BRIT Music Awards
144,1987,Best British Single,Pet Shop Boys,Pet Shop Boys,BRIT Music Awards
145,1987,Best British Video,Peter Gabriel,Peter Gabriel,BRIT Music Awards
146,1987,Best Classical Recording,Julian Lloyd Webber,Julian Lloyd Webber,BRIT Music Awards
147,1987,Best International Group,The Bangles,The Bangles,BRIT Music Awards
148,1987,Best International Solo Artist,Paul Simon,Paul Simon,BRIT Music Awards
149,1987,Best Soundtrack/Cast Recording,Top Gun,Top Gun,BRIT Music Awards
150,1987,Outstanding Contribution,Eric Clapton,Eric Clapton,BRIT Music Awards
151,1987,Best British Album,Dire Straits,Dire Straits,BRIT Music Awards
152,1987,Best British Female,Kate Bush,Kate Bush,BRIT Music Awards
153,1987,Best British Group,Five Star,Five Star,BRIT Music Awards
154,1987,Best British Male,Peter Gabriel,Peter Gabriel,BRIT Music Awards
155,1987,Best British Newcomer,The Housemartins,The Housemartins,BRIT Music Awards
156,1987,Best British Producer,Dave Stewart,Dave Stewart,BRIT Music Awards
157,1987,Best British Single,Pet Shop Boys,Pet Shop Boys,BRIT Music Awards
158,1987,Best British Video,Peter Gabriel,Peter Gabriel,BRIT Music Awards
159,1987,Best Classical Recording,Julian Lloyd Webber,Julian Lloyd Webber,BRIT Music Awards
160,1987,Best International Group,The Bangles,The Bangles,BRIT Music Awards
161,1987,Best International Solo Artist,Paul Simon,Paul Simon,BRIT Music Awards
162,1987,Best Soundtrack/Cast Recording,Top Gun,Top Gun,BRIT Music Awards
163,1987,Outstanding Contribution,Eric Clapton,Eric Clapton,BRIT Music Awards
164,1988,Best British Album,Sting,Sting,BRIT Music Awards
165,1988,Best British Female,Alison Moyet,Alison Moyet,BRIT Music Awards
166,1988,Best British Group,Pet Shop Boys,Pet Shop Boys,BRIT Music Awards
167,1988,Best British Male,George Michael,George Michael,BRIT Music Awards
168,1988,Best British Newcomer,Wet Wet Wet,Wet Wet Wet,BRIT Music Awards
169,1988,Best British Producer,Aitkin & Waterman,Aitkin & Waterman,BRIT Music Awards
170,1988,Best British Single,Rick Astley,Rick Astley,BRIT Music Awards
171,1988,Best British Video,New Order,New Order,BRIT Music Awards
172,1988,Best Classical Recording,Vernon Handley,Vernon Handley,BRIT Music Awards
173,1988,Best International Female,Tracy Chapman,Tracy Chapman,BRIT Music Awards
174,1988,Best International Group,U2,U2,BRIT Music Awards
175,1988,Best International Newcomer,Terence Trent D'Arby,Terence Trent D'Arby,BRIT Music Awards
176,1988,Best International Solo Artist,Michael Jackson,Michael Jackson,BRIT Music Awards
177,1988,Best Soundtrack/Cast Recording,Phantom Of The Opera,Phantom Of The Opera,BRIT Music Awards
178,1988,Outstanding Contribution,The Who,The Who,BRIT Music Awards
179,1988,Best British Album,Sting,Sting,BRIT Music Awards
180,1988,Best British Female,Alison Moyet,Alison Moyet,BRIT Music Awards
181,1988,Best British Group,Pet Shop Boys,Pet Shop Boys,BRIT Music Awards
182,1988,Best British Male,George Michael,George Michael,BRIT Music Awards
183,1988,Best British Newcomer,Wet Wet Wet,Wet Wet Wet,BRIT Music Awards
184,1988,Best British Producer,Aitkin & Waterman,Aitkin & Waterman,BRIT Music Awards
185,1988,Best British Single,Rick Astley,Rick Astley,BRIT Music Awards
186,1988,Best British Video,New Order,New Order,BRIT Music Awards
187,1988,Best Classical Recording,Vernon Handley,Vernon Handley,BRIT Music Awards
188,1988,Best International Female,Tracy Chapman,Tracy Chapman,BRIT Music Awards
189,1988,Best International Group,U2,U2,BRIT Music Awards
190,1988,Best International Newcomer,Terence Trent D'Arby,Terence Trent D'Arby,BRIT Music Awards
191,1988,Best International Solo Artist,Michael Jackson,Michael Jackson,BRIT Music Awards
192,1988,Best Soundtrack/Cast Recording,Phantom Of The Opera,Phantom Of The Opera,BRIT Music Awards
193,1988,Outstanding Contribution,The Who,The Who,BRIT Music Awards
194,1989,Best British Album,Fairground Attraction,Fairground Attraction,BRIT Music Awards
195,1989,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
196,1989,Best British Group,Erasure,Erasure,BRIT Music Awards
197,1989,Best British Male,Phil Collins,Phil Collins,BRIT Music Awards
198,1989,Best British Newcomer,Bros,Bros,BRIT Music Awards
199,1989,Best British Single,Fairground Attraction,Fairground Attraction,BRIT Music Awards
200,1989,Best Classical Recording,Trevor Pinnock,Trevor Pinnock,BRIT Music Awards
201,1989,Best International Group,U2,U2,BRIT Music Awards
202,1989,Best International Male,Michael Jackson,Michael Jackson,BRIT Music Awards
203,1989,Best International Newcomer,Tracy Chapman,Tracy Chapman,BRIT Music Awards
204,1989,Best Music Video,Michael Jackson,Michael Jackson,BRIT Music Awards
205,1989,Best Soundtrack/Cast Recording,Buster,Buster,BRIT Music Awards
206,1989,Outstanding Contribution,Cliff Richard,Cliff Richard,BRIT Music Awards
207,1989,Best British Album,Fairground Attraction,Fairground Attraction,BRIT Music Awards
208,1989,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
209,1989,Best British Group,Erasure,Erasure,BRIT Music Awards
210,1989,Best British Male,Phil Collins,Phil Collins,BRIT Music Awards
211,1989,Best British Newcomer,Bros,Bros,BRIT Music Awards
212,1989,Best British Single,Fairground Attraction,Fairground Attraction,BRIT Music Awards
213,1989,Best Classical Recording,Trevor Pinnock,Trevor Pinnock,BRIT Music Awards
214,1989,Best International Group,U2,U2,BRIT Music Awards
215,1989,Best International Male,Michael Jackson,Michael Jackson,BRIT Music Awards
216,1989,Best International Newcomer,Tracy Chapman,Tracy Chapman,BRIT Music Awards
217,1989,Best Music Video,Michael Jackson,Michael Jackson,BRIT Music Awards
218,1989,Best Soundtrack/Cast Recording,Buster,Buster,BRIT Music Awards
219,1989,Outstanding Contribution,Cliff Richard,Cliff Richard,BRIT Music Awards
220,1990,Best British Album,Fine Young Cannibals,Fine Young Cannibals,BRIT Music Awards
221,1990,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
222,1990,Best British Group,Fine Young Cannibals,Fine Young Cannibals,BRIT Music Awards
223,1990,Best British Male,Phil Collins,Phil Collins,BRIT Music Awards
224,1990,Best British Newcomer,Lisa Stansfield,Lisa Stansfield,BRIT Music Awards
225,1990,Best British Producer,Dave Stewart,Dave Stewart,BRIT Music Awards
226,1990,Best British Single,Phil Collins,Phil Collins,BRIT Music Awards
227,1990,Best British Video,The Cure,The Cure,BRIT Music Awards
228,1990,Best Classical Recording,Simon Rattle,Simon Rattle,BRIT Music Awards
229,1990,Best International Group,U2,U2,BRIT Music Awards
230,1990,Best International Newcomer,Neneh Cherry,Neneh Cherry,BRIT Music Awards
231,1990,Best International Solo Artist,Neneh Cherry,Neneh Cherry,BRIT Music Awards
232,1990,Best Soundtrack/Cast Recording,Batman,Batman,BRIT Music Awards
233,1990,Outstanding Contribution,Queen,Queen,BRIT Music Awards
234,1990,Best British Album,Fine Young Cannibals,Fine Young Cannibals,BRIT Music Awards
235,1990,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
236,1990,Best British Group,Fine Young Cannibals,Fine Young Cannibals,BRIT Music Awards
237,1990,Best British Male,Phil Collins,Phil Collins,BRIT Music Awards
238,1990,Best British Newcomer,Lisa Stansfield,Lisa Stansfield,BRIT Music Awards
239,1990,Best British Producer,Dave Stewart,Dave Stewart,BRIT Music Awards
240,1990,Best British Single,Phil Collins,Phil Collins,BRIT Music Awards
241,1990,Best British Video,The Cure,The Cure,BRIT Music Awards
242,1990,Best Classical Recording,Simon Rattle,Simon Rattle,BRIT Music Awards
243,1990,Best International Group,U2,U2,BRIT Music Awards
244,1990,Best International Newcomer,Neneh Cherry,Neneh Cherry,BRIT Music Awards
245,1990,Best International Solo Artist,Neneh Cherry,Neneh Cherry,BRIT Music Awards
246,1990,Best Soundtrack/Cast Recording,Batman,Batman,BRIT Music Awards
247,1990,Outstanding Contribution,Queen,Queen,BRIT Music Awards
248,1991,Best British Album,George Michael,George Michael,BRIT Music Awards
249,1991,Best British Female,Lisa Stansfield,Lisa Stansfield,BRIT Music Awards
250,1991,Best British Group,The Cure,The Cure,BRIT Music Awards
251,1991,Best British Male,Elton John,Elton John,BRIT Music Awards
252,1991,Best British Newcomer,Betty Boo,Betty Boo,BRIT Music Awards
253,1991,Best British Producer,Chris Thomas,Chris Thomas,BRIT Music Awards
254,1991,Best British Single,Depeche Mode,Depeche Mode,BRIT Music Awards
255,1991,Best British Video,The Beautiful South,The Beautiful South,BRIT Music Awards
256,1991,Best Classical Recording,Sir George Solti,Sir George Solti,BRIT Music Awards
257,1991,Best International Female,Sinead O'Connor,Sinead O'Connor,BRIT Music Awards
258,1991,Best International Group,INXS,INXS,BRIT Music Awards
259,1991,Best International Male,Michael Hutchence,Michael Hutchence,BRIT Music Awards
260,1991,Best International Newcomer,MC Hammer,MC Hammer,BRIT Music Awards
261,1991,Best Soundtrack/Cast Recording,Twin Peaks,Twin Peaks,BRIT Music Awards
262,1991,Outstanding Contribution,Status Quo,Status Quo,BRIT Music Awards
263,1991,Best British Album,George Michael,George Michael,BRIT Music Awards
264,1991,Best British Female,Lisa Stansfield,Lisa Stansfield,BRIT Music Awards
265,1991,Best British Group,The Cure,The Cure,BRIT Music Awards
266,1991,Best British Male,Elton John,Elton John,BRIT Music Awards
267,1991,Best British Newcomer,Betty Boo,Betty Boo,BRIT Music Awards
268,1991,Best British Producer,Chris Thomas,Chris Thomas,BRIT Music Awards
269,1991,Best British Single,Depeche Mode,Depeche Mode,BRIT Music Awards
270,1991,Best British Video,The Beautiful South,The Beautiful South,BRIT Music Awards
271,1991,Best Classical Recording,Sir George Solti,Sir George Solti,BRIT Music Awards
272,1991,Best International Female,Sinead O'Connor,Sinead O'Connor,BRIT Music Awards
273,1991,Best International Group,INXS,INXS,BRIT Music Awards
274,1991,Best International Male,Michael Hutchence,Michael Hutchence,BRIT Music Awards
275,1991,Best International Newcomer,MC Hammer,MC Hammer,BRIT Music Awards
276,1991,Best Soundtrack/Cast Recording,Twin Peaks,Twin Peaks,BRIT Music Awards
277,1991,Outstanding Contribution,Status Quo,Status Quo,BRIT Music Awards
278,1992,Best British Album,Seal,Seal,BRIT Music Awards
279,1992,Best British Female,Lisa Stansfield,Lisa Stansfield,BRIT Music Awards
