,year,category,artist,nominee,association
870,2011,International Female Solo Artist,Rihanna,Rihanna,BRIT Music Awards
871,2011,International Group,Arcade Fire,Arcade Fire,BRIT Music Awards
872,2011,International Male Solo Artist,Cee Lo Green,Cee Lo Green,BRIT Music Awards
873,2011,MasterCard British Album of the Year,Mumford & Sons,Mumford & Sons,BRIT Music Awards
874,2012,British Breakthrough Act,Ed Sheeran,Ed Sheeran,BRIT Music Awards
875,2012,British Female Solo Artist,Adele,Adele,BRIT Music Awards
876,2012,British Group,Coldplay,Coldplay,BRIT Music Awards
877,2012,British Male Solo Artist,Ed Sheeran,Ed Sheeran,BRIT Music Awards
878,2012,British Single,One Direction,One Direction,BRIT Music Awards
879,2012,Critics Choice,Emeli Sand,Emeli Sand,BRIT Music Awards
880,2012,International Breakthrough Act,Lana Del Rey,Lana Del Rey,BRIT Music Awards
881,2012,International Female Solo Artist,Rihanna,Rihanna,BRIT Music Awards
882,2012,International Group,Foo Fighters,Foo Fighters,BRIT Music Awards
883,2012,International Male Solo Artist,Bruno Mars,Bruno Mars,BRIT Music Awards
884,2012,MasterCard British Album of the Year,Adele,Adele,BRIT Music Awards
885,2012,Outstanding Contribution to Music,Blur,Blur,BRIT Music Awards
886,2012,British Breakthrough Act,Ed Sheeran,Ed Sheeran,BRIT Music Awards
887,2012,British Female Solo Artist,Adele,Adele,BRIT Music Awards
888,2012,British Group,Coldplay,Coldplay,BRIT Music Awards
889,2012,British Male Solo Artist,Ed Sheeran,Ed Sheeran,BRIT Music Awards
890,2012,British Single,One Direction,One Direction,BRIT Music Awards
891,2012,Critics Choice,Emeli Sand,Emeli Sand,BRIT Music Awards
892,2012,International Breakthrough Act,Lana Del Rey,Lana Del Rey,BRIT Music Awards
893,2012,International Female Solo Artist,Rihanna,Rihanna,BRIT Music Awards
894,2012,International Group,Foo Fighters,Foo Fighters,BRIT Music Awards
895,2012,International Male Solo Artist,Bruno Mars,Bruno Mars,BRIT Music Awards
896,2012,MasterCard British Album of the Year,Adele,Adele,BRIT Music Awards
897,2012,Outstanding Contribution to Music,Blur,Blur,BRIT Music Awards
898,2013,British Breakthrough Act,Ben Howard,Ben Howard,BRIT Music Awards
899,2013,British Female Solo Artist,Emeli Sand,Emeli Sand,BRIT Music Awards
900,2013,British Group,Mumford & Sons,Mumford & Sons,BRIT Music Awards
901,2013,British Live Act,Coldplay,Coldplay,BRIT Music Awards
902,2013,British Male Solo Artist,Ben Howard,Ben Howard,BRIT Music Awards
903,2013,British Producer of the Year,Paul Epworth,Paul Epworth,BRIT Music Awards
904,2013,British Single,Adele,Adele,BRIT Music Awards
905,2013,BRITs Global Success Award,One Direction,One Direction,BRIT Music Awards
906,2013,Critics' Choice Award,Tom Odell,Tom Odell,BRIT Music Awards
907,2013,International Female Solo Artist,Lana Del Rey,Lana Del Rey,BRIT Music Awards
908,2013,International Group,The Black Keys,The Black Keys,BRIT Music Awards
909,2013,International Male Solo Artist,Frank Ocean,Frank Ocean,BRIT Music Awards
910,2013,Mastercard British Album of the Year,Emeli Sand,Emeli Sand,BRIT Music Awards
911,2013,British Breakthrough Act,Ben Howard,Ben Howard,BRIT Music Awards
912,2013,British Female Solo Artist,Emeli Sand,Emeli Sand,BRIT Music Awards
913,2013,British Group,Mumford & Sons,Mumford & Sons,BRIT Music Awards
914,2013,British Live Act,Coldplay,Coldplay,BRIT Music Awards
915,2013,British Male Solo Artist,Ben Howard,Ben Howard,BRIT Music Awards
916,2013,British Producer of the Year,Paul Epworth,Paul Epworth,BRIT Music Awards
917,2013,British Single,Adele,Adele,BRIT Music Awards
918,2013,BRITs Global Success Award,One Direction,One Direction,BRIT Music Awards
919,2013,Critics' Choice Award,Tom Odell,Tom Odell,BRIT Music Awards
920,2013,International Female Solo Artist,Lana Del Rey,Lana Del Rey,BRIT Music Awards
921,2013,International Group,The Black Keys,The Black Keys,BRIT Music Awards
922,2013,International Male Solo Artist,Frank Ocean,Frank Ocean,BRIT Music Awards
923,2013,Mastercard British Album of the Year,Emeli Sand,Emeli Sand,BRIT Music Awards
924,2014,Best Producer,Flood & Alan Moulder,Flood & Alan Moulder,BRIT Music Awards
925,2014,British Breakthrough Act,Bastille,Bastille,BRIT Music Awards
926,2014,British Female Solo Artist,Ellie Goulding,Ellie Goulding,BRIT Music Awards
927,2014,British Group,Arctic Monkeys,Arctic Monkeys,BRIT Music Awards
928,2014,British Male Solo Artist,David Bowie,David Bowie,BRIT Music Awards
929,2014,British Single,Rudimental,Rudimental,BRIT Music Awards
930,2014,British Video,One Direction,One Direction,BRIT Music Awards
931,2014,Critics' Choice Award,Sam Smith,Sam Smith,BRIT Music Awards
932,2014,International Female Solo Artist,Lorde,Lorde,BRIT Music Awards
933,2014,International Group,Daft Punk,Daft Punk,BRIT Music Awards
934,2014,International Male Solo Artist,Bruno Mars,Bruno Mars,BRIT Music Awards
935,2014,MasterCard British Album of the Year,Arctic Monkeys,Arctic Monkeys,BRIT Music Awards
936,2014,Best Producer,Flood & Alan Moulder,Flood & Alan Moulder,BRIT Music Awards
937,2014,British Breakthrough Act,Bastille,Bastille,BRIT Music Awards
938,2014,British Female Solo Artist,Ellie Goulding,Ellie Goulding,BRIT Music Awards
939,2014,British Group,Arctic Monkeys,Arctic Monkeys,BRIT Music Awards
940,2014,British Male Solo Artist,David Bowie,David Bowie,BRIT Music Awards
941,2014,British Single,Rudimental,Rudimental,BRIT Music Awards
942,2014,British Video,One Direction,One Direction,BRIT Music Awards
943,2014,Critics' Choice Award,Sam Smith,Sam Smith,BRIT Music Awards
944,2014,International Female Solo Artist,Lorde,Lorde,BRIT Music Awards
945,2014,International Group,Daft Punk,Daft Punk,BRIT Music Awards
946,2014,International Male Solo Artist,Bruno Mars,Bruno Mars,BRIT Music Awards
947,2014,MasterCard British Album of the Year,Arctic Monkeys,Arctic Monkeys,BRIT Music Awards
948,2015,British Breakthrough Act,Sam Smith,Sam Smith,BRIT Music Awards
949,2015,British Female Solo Artist,Paloma Faith,Paloma Faith,BRIT Music Awards
950,2015,British Group,Royal Blood,Royal Blood,BRIT Music Awards
951,2015,British Male Solo Artist,Ed Sheeran,Ed Sheeran,BRIT Music Awards
952,2015,British Producer,Paul Epworth,Paul Epworth,BRIT Music Awards
953,2015,British Single,Mark Ronson ft Bruno Mars - 'Uptown Funk',Mark Ronson ft Bruno Mars - 'Uptown Funk',BRIT Music Awards
954,2015,British Video,One  Direction,One  Direction,BRIT Music Awards
955,2015,BRITs Global Success Award,Sam Smith,Sam Smith,BRIT Music Awards
956,2015,Critics' Choice Award,James Bay,James Bay,BRIT Music Awards
957,2015,International Female Solo Artist,Taylor Swift,Taylor Swift,BRIT Music Awards
958,2015,International Group,Foo Fighters,Foo Fighters,BRIT Music Awards
959,2015,International Male Solo Artist,Pharrell Williams,Pharrell Williams,BRIT Music Awards
960,2015,MasterCard British Album,Ed Sheeran - 'X',Ed Sheeran - 'X',BRIT Music Awards
961,2015,British Breakthrough Act,Sam Smith,Sam Smith,BRIT Music Awards
962,2015,British Female Solo Artist,Paloma Faith,Paloma Faith,BRIT Music Awards
963,2015,British Group,Royal Blood,Royal Blood,BRIT Music Awards
964,2015,British Male Solo Artist,Ed Sheeran,Ed Sheeran,BRIT Music Awards
965,2015,British Producer,Paul Epworth,Paul Epworth,BRIT Music Awards
966,2015,British Single,Mark Ronson ft Bruno Mars - 'Uptown Funk',Mark Ronson ft Bruno Mars - 'Uptown Funk',BRIT Music Awards
967,2015,British Video,One  Direction,One  Direction,BRIT Music Awards
968,2015,BRITs Global Success Award,Sam Smith,Sam Smith,BRIT Music Awards
969,2015,Critics' Choice Award,James Bay,James Bay,BRIT Music Awards
970,2015,International Female Solo Artist,Taylor Swift,Taylor Swift,BRIT Music Awards
971,2015,International Group,Foo Fighters,Foo Fighters,BRIT Music Awards
972,2015,International Male Solo Artist,Pharrell Williams,Pharrell Williams,BRIT Music Awards
973,2015,MasterCard British Album,Ed Sheeran - 'X',Ed Sheeran - 'X',BRIT Music Awards
974,2016,British Artist Video,One Direction - 'Drag Me Down',One Direction - 'Drag Me Down',BRIT Music Awards
975,2016,British Breakthrough Act,Catfish and the Bottlemen,Catfish and the Bottlemen,BRIT Music Awards
976,2016,British Female Solo Artist,Adele,Adele,BRIT Music Awards
977,2016,British Group,Coldplay,Coldplay,BRIT Music Awards
978,2016,British Male Solo Artist,James Bay,James Bay,BRIT Music Awards
979,2016,British Producer of the Year,Charlie Andrew,Charlie Andrew,BRIT Music Awards
980,2016,British Single,Adele - 'Hello',Adele - 'Hello',BRIT Music Awards
981,2016,Critics' Choice,Jack Garratt,Jack Garratt,BRIT Music Awards
982,2016,Global Success,Adele,Adele,BRIT Music Awards
983,2016,International Female Solo Artist,Bjrk,Bjrk,BRIT Music Awards
984,2016,International Group,Tame Impala,Tame Impala,BRIT Music Awards
985,2016,International Male Solo Artist,Justin Bieber,Justin Bieber,BRIT Music Awards
986,2016,MasterCard British Album of the Year,Adele - 25,Adele - 25,BRIT Music Awards
987,2016,British Artist Video,One Direction - 'Drag Me Down',One Direction - 'Drag Me Down',BRIT Music Awards
988,2016,British Breakthrough Act,Catfish and the Bottlemen,Catfish and the Bottlemen,BRIT Music Awards
989,2016,British Female Solo Artist,Adele,Adele,BRIT Music Awards
990,2016,British Group,Coldplay,Coldplay,BRIT Music Awards
991,2016,British Male Solo Artist,James Bay,James Bay,BRIT Music Awards
992,2016,British Producer of the Year,Charlie Andrew,Charlie Andrew,BRIT Music Awards
993,2016,British Single,Adele - 'Hello',Adele - 'Hello',BRIT Music Awards
994,2016,Critics' Choice,Jack Garratt,Jack Garratt,BRIT Music Awards
995,2016,Global Success,Adele,Adele,BRIT Music Awards
996,2016,International Female Solo Artist,Bjrk,Bjrk,BRIT Music Awards
997,2016,International Group,Tame Impala,Tame Impala,BRIT Music Awards
998,2016,International Male Solo Artist,Justin Bieber,Justin Bieber,BRIT Music Awards
999,2016,MasterCard British Album of the Year,Adele - 25,Adele - 25,BRIT Music Awards
1000,2017,British Artist Video,One Direction - 'History',One Direction - 'History',BRIT Music Awards
1001,2017,British Breakthrough Act,Rag'N'Bone Man,Rag'N'Bone Man,BRIT Music Awards
1002,2017,British Female Solo Artist,Emeli Sand,Emeli Sand,BRIT Music Awards
1003,2017,British Group,The 1975,The 1975,BRIT Music Awards
1004,2017,British Male Solo Artist,David Bowie,David Bowie,BRIT Music Awards
1005,2017,British Single,Little Mix - 'Shout Out To My Ex',Little Mix - 'Shout Out To My Ex',BRIT Music Awards
1006,2017,BRITs Global Success Award,Adele,Adele,BRIT Music Awards
1007,2017,International Female Solo Artist,Beyonc,Beyonc,BRIT Music Awards
1008,2017,International Group,A Tribe Called Quest,A Tribe Called Quest,BRIT Music Awards
1009,2017,International Male Solo Artist,Drake,Drake,BRIT Music Awards
1010,2017,Mastercard British Album of the Year,Davie Bowie - Blackstar,Davie Bowie - Blackstar,BRIT Music Awards
1011,2017,British Artist Video,One Direction - 'History',One Direction - 'History',BRIT Music Awards
1012,2017,British Breakthrough Act,Rag'N'Bone Man,Rag'N'Bone Man,BRIT Music Awards
1013,2017,British Female Solo Artist,Emeli Sand,Emeli Sand,BRIT Music Awards
1014,2017,British Group,The 1975,The 1975,BRIT Music Awards
1015,2017,British Male Solo Artist,David Bowie,David Bowie,BRIT Music Awards
1016,2017,British Single,Little Mix - 'Shout Out To My Ex',Little Mix - 'Shout Out To My Ex',BRIT Music Awards
1017,2017,BRITs Global Success Award,Adele,Adele,BRIT Music Awards
1018,2017,International Female Solo Artist,Beyonc,Beyonc,BRIT Music Awards
1019,2017,International Group,A Tribe Called Quest,A Tribe Called Quest,BRIT Music Awards
1020,2017,International Male Solo Artist,Drake,Drake,BRIT Music Awards
1021,2017,Mastercard British Album of the Year,Davie Bowie - Blackstar,Davie Bowie - Blackstar,BRIT Music Awards
1022,2018,BRITISH ARTIST VIDEO OF THE YEAR,Harry Styles - 'Sign Of The Times',Harry Styles - 'Sign Of The Times',BRIT Music Awards
1023,2018,BRITISH BREAKTHROUGH ACT,Dua Lipa,Dua Lipa,BRIT Music Awards
1024,2018,BRITISH FEMALE SOLO ARTIST,Dua Lipa,Dua Lipa,BRIT Music Awards
1025,2018,BRITISH GROUP,Gorillaz,Gorillaz,BRIT Music Awards
1026,2018,BRITISH MALE SOLO ARTIST,Stormzy,Stormzy,BRIT Music Awards
1027,2018,BRITISH PRODUCER OF THE YEAR,Steve Mac,Steve Mac,BRIT Music Awards
1028,2018,BRITISH SINGLE,Rag'n'Bone Man - 'Human',Rag'n'Bone Man - 'Human',BRIT Music Awards
1029,2018,BRITs GLOBAL SUCCESS AWARD,Ed Sheeran,Ed Sheeran,BRIT Music Awards
1030,2018,CRITICS CHOICE,Jorja Smith,Jorja Smith,BRIT Music Awards
1031,2018,INTERNATIONAL FEMALE SOLO ARTIST,Lorde,Lorde,BRIT Music Awards
1032,2018,INTERNATIONAL GROUP,Foo Fighters,Foo Fighters,BRIT Music Awards
1033,2018,INTERNATIONAL MALE SOLO ARTIST,Kendrick Lamar,Kendrick Lamar,BRIT Music Awards
1034,2018,MASTERCARD BRITISH ALBUM OF THE YEAR,Stormzy - 'Gang Signs & Prayer',Stormzy - 'Gang Signs & Prayer',BRIT Music Awards
1035,2018,BRITISH ARTIST VIDEO OF THE YEAR,Harry Styles - 'Sign Of The Times',Harry Styles - 'Sign Of The Times',BRIT Music Awards
1036,2018,BRITISH BREAKTHROUGH ACT,Dua Lipa,Dua Lipa,BRIT Music Awards
1037,2018,BRITISH FEMALE SOLO ARTIST,Dua Lipa,Dua Lipa,BRIT Music Awards
1038,2018,BRITISH GROUP,Gorillaz,Gorillaz,BRIT Music Awards
1039,2018,BRITISH MALE SOLO ARTIST,Stormzy,Stormzy,BRIT Music Awards
1040,2018,BRITISH PRODUCER OF THE YEAR,Steve Mac,Steve Mac,BRIT Music Awards
1041,2018,BRITISH SINGLE,Rag'n'Bone Man - 'Human',Rag'n'Bone Man - 'Human',BRIT Music Awards
1042,2018,BRITs GLOBAL SUCCESS AWARD,Ed Sheeran,Ed Sheeran,BRIT Music Awards
1043,2018,CRITICS CHOICE,Jorja Smith,Jorja Smith,BRIT Music Awards
1044,2018,INTERNATIONAL FEMALE SOLO ARTIST,Lorde,Lorde,BRIT Music Awards
1045,2018,INTERNATIONAL GROUP,Foo Fighters,Foo Fighters,BRIT Music Awards
1046,2018,INTERNATIONAL MALE SOLO ARTIST,Kendrick Lamar,Kendrick Lamar,BRIT Music Awards
1047,2018,MASTERCARD BRITISH ALBUM OF THE YEAR,Stormzy - 'Gang Signs & Prayer',Stormzy - 'Gang Signs & Prayer',BRIT Music Awards
1048,2019,BRITISH ARTIST VIDEO OF THE YEAR,Little Mix feat. Nicki Minaj - 'Woman Like Me',Little Mix feat. Nicki Minaj - 'Woman Like Me',BRIT Music Awards
1049,2019,BRITISH BREAKTHROUGH ACT,Tom Walker,Tom Walker,BRIT Music Awards
1050,2019,BRITISH FEMALE SOLO ARTIST,Jorja Smith,Jorja Smith,BRIT Music Awards
1051,2019,BRITISH GROUP,The 1975,The 1975,BRIT Music Awards
1052,2019,BRITISH MALE SOLO ARTIST,George Ezra,George Ezra,BRIT Music Awards
1053,2019,BRITISH PRODUCER OF THE YEAR,Calvin Harris,Calvin Harris,BRIT Music Awards
1054,2019,BRITISH SINGLE,Calvin Harris & Dua Lipa - 'One Kiss',Calvin Harris & Dua Lipa - 'One Kiss',BRIT Music Awards
1055,2019,CRITICS' CHOICE,Sam Fender,Sam Fender,BRIT Music Awards
1056,2019,GLOBAL SUCCESS AWARD,Ed Sheeran,Ed Sheeran,BRIT Music Awards
1057,2019,INTERNATIONAL FEMALE SOLO ARTIST,Ariana Grande,Ariana Grande,BRIT Music Awards
1058,2019,INTERNATIONAL GROUP,The Carters,The Carters,BRIT Music Awards
1059,2019,INTERNATIONAL MALE SOLO ARTIST,Drake,Drake,BRIT Music Awards
1060,2019,MASTERCARD BRITISH ALBUM OF THE YEAR,The 1975 - 'A Brief Inquiry into Online Relationships',The 1975 - 'A Brief Inquiry into Online Relationships',BRIT Music Awards
1061,2019,OUTSTANDING CONTRIBUTION TO MUSIC AWARD,Pink,Pink,BRIT Music Awards
1062,2019,BRITISH ARTIST VIDEO OF THE YEAR,Little Mix feat. Nicki Minaj - 'Woman Like Me',Little Mix feat. Nicki Minaj - 'Woman Like Me',BRIT Music Awards
1063,2019,BRITISH BREAKTHROUGH ACT,Tom Walker,Tom Walker,BRIT Music Awards
1064,2019,BRITISH FEMALE SOLO ARTIST,Jorja Smith,Jorja Smith,BRIT Music Awards
1065,2019,BRITISH GROUP,The 1975,The 1975,BRIT Music Awards
1066,2019,BRITISH MALE SOLO ARTIST,George Ezra,George Ezra,BRIT Music Awards
1067,2019,BRITISH PRODUCER OF THE YEAR,Calvin Harris,Calvin Harris,BRIT Music Awards
1068,2019,BRITISH SINGLE,Calvin Harris & Dua Lipa - 'One Kiss',Calvin Harris & Dua Lipa - 'One Kiss',BRIT Music Awards
1069,2019,CRITICS' CHOICE,Sam Fender,Sam Fender,BRIT Music Awards
1070,2019,GLOBAL SUCCESS AWARD,Ed Sheeran,Ed Sheeran,BRIT Music Awards
1071,2019,INTERNATIONAL FEMALE SOLO ARTIST,Ariana Grande,Ariana Grande,BRIT Music Awards
1072,2019,INTERNATIONAL GROUP,The Carters,The Carters,BRIT Music Awards
1073,2019,INTERNATIONAL MALE SOLO ARTIST,Drake,Drake,BRIT Music Awards
1074,2019,MASTERCARD BRITISH ALBUM OF THE YEAR,The 1975 - 'A Brief Inquiry into Online Relationships',The 1975 - 'A Brief Inquiry into Online Relationships',BRIT Music Awards
1075,2019,OUTSTANDING CONTRIBUTION TO MUSIC AWARD,Pink,Pink,BRIT Music Awards
1076,2020,Best Group,Foals,Foals,BRIT Music Awards
1077,2020,Best New Artist,Lewis Capaldi,Lewis Capaldi,BRIT Music Awards
1078,2020,Female Solo Artist,Mabel,Mabel,BRIT Music Awards
1079,2020,International Female Solo Artist,Billie Eilish,Billie Eilish,BRIT Music Awards
1080,2020,International Male Solo Artist,"Tyler, the Creator","Tyler, the Creator",BRIT Music Awards
1081,2020,Male Solo Artist,Stormzy,Stormzy,BRIT Music Awards
1082,2020,Mastercard Album Of The Year,Dave - 'Psychodrama',Dave - 'Psychodrama',BRIT Music Awards
1083,2020,Song of the Year,Lewis Capaldi - 'Someone You Loved',Lewis Capaldi - 'Someone You Loved',BRIT Music Awards
1084,2020,Best Group,Foals,Foals,BRIT Music Awards
1085,2020,Best New Artist,Lewis Capaldi,Lewis Capaldi,BRIT Music Awards
1086,2020,Female Solo Artist,Mabel,Mabel,BRIT Music Awards
1087,2020,International Female Solo Artist,Billie Eilish,Billie Eilish,BRIT Music Awards
1088,2020,International Male Solo Artist,"Tyler, the Creator","Tyler, the Creator",BRIT Music Awards
1089,2020,Male Solo Artist,Stormzy,Stormzy,BRIT Music Awards
1090,2020,Mastercard Album Of The Year,Dave - 'Psychodrama',Dave - 'Psychodrama',BRIT Music Awards
1091,2020,Song of the Year,Lewis Capaldi - 'Someone You Loved',Lewis Capaldi - 'Someone You Loved',BRIT Music Awards
1092,2021,Breakthrough Artist,Arlo Parks,Arlo Parks,BRIT Music Awards
1093,2021,British Group,Little Mix,Little Mix,BRIT Music Awards
1094,2021,British Single with Mastercard,Harry Styles - Watermelon Sugar,Harry Styles - Watermelon Sugar,BRIT Music Awards
1095,2021,BRITs Global Icon,Taylor Swift,Taylor Swift,BRIT Music Awards
1096,2021,BRITs Rising Star,Griff,Griff,BRIT Music Awards
1097,2021,Female Solo Artist,Dua Lipa,Dua Lipa,BRIT Music Awards
1098,2021,International Female Solo Artist,Billie Eilish,Billie Eilish,BRIT Music Awards
1099,2021,International Group,HAIM,HAIM,BRIT Music Awards
1100,2021,International Male Solo Artist,The Weeknd,The Weeknd,BRIT Music Awards
1101,2021,Male Solo Artist,J Hus,J Hus,BRIT Music Awards
1102,2021,Mastercard Album,Dua Lipa - Future Nostalgia,Dua Lipa - Future Nostalgia,BRIT Music Awards
1103,2021,Breakthrough Artist,Arlo Parks,Arlo Parks,BRIT Music Awards
1104,2021,British Group,Little Mix,Little Mix,BRIT Music Awards
1105,2021,British Single with Mastercard,Harry Styles - Watermelon Sugar,Harry Styles - Watermelon Sugar,BRIT Music Awards
1106,2021,BRITs Global Icon,Taylor Swift,Taylor Swift,BRIT Music Awards
1107,2021,BRITs Rising Star,Griff,Griff,BRIT Music Awards
1108,2021,Female Solo Artist,Dua Lipa,Dua Lipa,BRIT Music Awards
1109,2021,International Female Solo Artist,Billie Eilish,Billie Eilish,BRIT Music Awards
1110,2021,International Group,HAIM,HAIM,BRIT Music Awards
1111,2021,International Male Solo Artist,The Weeknd,The Weeknd,BRIT Music Awards
1112,2021,Male Solo Artist,J Hus,J Hus,BRIT Music Awards
1113,2021,Mastercard Album,Dua Lipa - Future Nostalgia,Dua Lipa - Future Nostalgia,BRIT Music Awards
1114,2022,Artist of the Year,Adele,Adele,BRIT Music Awards
1115,2022,Best Dance Act,Becky Hill,Becky Hill,BRIT Music Awards
1116,2022,Best Group,Wolf Alice,Wolf Alice,BRIT Music Awards
1117,2022,Best Hip Hop/Grime/Rap Act,Dave,Dave,BRIT Music Awards
1118,2022,Best New Artist,Little Simz,Little Simz,BRIT Music Awards
1119,2022,Best Pop/R&B Act,Dua Lipa,Dua Lipa,BRIT Music Awards
1120,2022,Best Rock/Alternative Act,Sam Fender,Sam Fender,BRIT Music Awards
1121,2022,International Artist of the Year,Billie Eilish,Billie Eilish,BRIT Music Awards
1122,2022,International Group of the Year,Silk Sonic,Silk Sonic,BRIT Music Awards
1123,2022,International Song of the Year,Olivia Rodrigo - good 4 u,Olivia Rodrigo - good 4 u,BRIT Music Awards
1124,2022,Mastercard Album of The Year,Adele - 30,Adele - 30,BRIT Music Awards
1125,2022,Song of the Year,Adele - Easy On Me,Adele - Easy On Me,BRIT Music Awards
1126,2022,Artist of the Year,Adele,Adele,BRIT Music Awards
1127,2022,Best Dance Act,Becky Hill,Becky Hill,BRIT Music Awards
1128,2022,Best Group,Wolf Alice,Wolf Alice,BRIT Music Awards
1129,2022,Best Hip Hop/Grime/Rap Act,Dave,Dave,BRIT Music Awards
1130,2022,Best New Artist,Little Simz,Little Simz,BRIT Music Awards
1131,2022,Best Pop/R&B Act,Dua Lipa,Dua Lipa,BRIT Music Awards
1132,2022,Best Rock/Alternative Act,Sam Fender,Sam Fender,BRIT Music Awards
1133,2022,International Artist of the Year,Billie Eilish,Billie Eilish,BRIT Music Awards
1134,2022,International Group of the Year,Silk Sonic,Silk Sonic,BRIT Music Awards
1135,2022,International Song of the Year,Olivia Rodrigo - good 4 u,Olivia Rodrigo - good 4 u,BRIT Music Awards
1136,2022,Mastercard Album of The Year,Adele - 30,Adele - 30,BRIT Music Awards
1137,2022,Song of the Year,Adele - Easy On Me,Adele - Easy On Me,BRIT Music Awards
